 total number of assessments in srDB 
-------------------------------------
                                 231
(1 row)

 total number of assessments in srDB excluding RAM original data 
-----------------------------------------------------------------
                                                             179
(1 row)

  recorder   | total number of assessments in srDB 
-------------+-------------------------------------
 MYERS       |                                  52
 MINTO       |                                  37
 JENNINGS    |                                  27
 JENSEN      |                                  21
 PREFONTAINE |                                  21
 BRANCH      |                                  17
 FULTON      |                                  15
 COLLIE      |                                  12
 BAUM        |                                   7
 Parma       |                                   6
 PRÉFONTAINE |                                   3
 de Moor     |                                   2
 FRANCIS     |                                   2
 Johnston    |                                   2
 WORM        |                                   2
 GILROY      |                                   1
 HUTCHINGS   |                                   1
 LEGAULT     |                                   1
 TERCEIRO    |                                   1
 WIGLEY      |                                   1
(20 rows)

  recorder   | total number of assessments with time-series data in srDB 
-------------+-----------------------------------------------------------
 MYERS       |                                                        52
 MINTO       |                                                        37
 JENNINGS    |                                                        27
 PREFONTAINE |                                                        21
 JENSEN      |                                                        21
 BRANCH      |                                                        17
 FULTON      |                                                        15
 COLLIE      |                                                        12
 BAUM        |                                                         7
 Parma       |                                                         6
 WORM        |                                                         2
 FRANCIS     |                                                         2
 de Moor     |                                                         2
 Johnston    |                                                         2
 PRÉFONTAINE |                                                         2
 HUTCHINGS   |                                                         1
 LEGAULT     |                                                         1
 WIGLEY      |                                                         1
 TERCEIRO    |                                                         1
 GILROY      |                                                         1
(20 rows)

  recorder   | total number of assessments with biometrics data in srDB 
-------------+----------------------------------------------------------
 MINTO       |                                                       37
 JENNINGS    |                                                       27
 PREFONTAINE |                                                       21
 JENSEN      |                                                       20
 BRANCH      |                                                       17
 FULTON      |                                                       15
 COLLIE      |                                                        7
 BAUM        |                                                        7
 Parma       |                                                        6
 FRANCIS     |                                                        2
 WORM        |                                                        2
 de Moor     |                                                        2
 Johnston    |                                                        2
 PRÉFONTAINE |                                                        2
 HUTCHINGS   |                                                        1
 LEGAULT     |                                                        1
 WIGLEY      |                                                        1
 TERCEIRO    |                                                        1
 GILROY      |                                                        1
(19 rows)

  recorder   |                         stocklong                         |        scientificname         |      stockid      
 MINTO       | WGNSSK-SEELNS-1983-2007-MINTO                | Blim-MT
 MINTO       | WGNSSK-SEELNS-1983-2007-MINTO                | Bpa-MT
 MINTO       | WGNSSK-SOLENS-1956-2006-MINTO                | Fmax-1/yr
 MINTO       | WGNSSK-SOLENS-1956-2006-MINTO                | SSB-AGE-yr
 MINTO       | WGNSSK-SOLENS-1956-2006-MINTO                | A50-yr
 MINTO       | WGNSSK-SOLENS-1956-2006-MINTO                | MAT-CALC-0-1
 MINTO       | WGNSSK-SOLENS-1956-2006-MINTO                | F-AGE-yr-yr
 MINTO       | WGNSSK-SOLENS-1956-2006-MINTO                | Blim-MT
 MINTO       | WGNSSK-SOLENS-1956-2006-MINTO                | F0.1-1/yr
 MINTO       | WGNSSK-SOLENS-1956-2006-MINTO                | Bpa-MT
 MINTO       | WGNSSK-SOLENS-1956-2006-MINTO                | M-1/T
 MINTO       | WGNSSK-SOLENS-1956-2006-MINTO                | Habitat-Habitat
 MINTO       | WGNSSK-SOLENS-1956-2006-MINTO                | REC-AGE-yr
 MINTO       | WGNSSK-SOLENS-1956-2006-MINTO                | Fpa-1/yr
 MINTO       | WGNSSK-SOLEVIId-1981-2006-MINTO              | Flim-1/yr
 MINTO       | WGNSSK-SOLEVIId-1981-2006-MINTO              | Fpa-1/yr
 MINTO       | WGNSSK-SOLEVIId-1981-2006-MINTO              | TB-AGE-yr
 MINTO       | WGNSSK-SOLEVIId-1981-2006-MINTO              | SSB-AGE-yr
 MINTO       | WGNSSK-SOLEVIId-1981-2006-MINTO              | Fmax-1/yr
 MINTO       | WGNSSK-SOLEVIId-1981-2006-MINTO              | M-1/T
 MINTO       | WGNSSK-SOLEVIId-1981-2006-MINTO              | MAT-CALC-0-1
 MINTO       | WGNSSK-SOLEVIId-1981-2006-MINTO              | F-AGE-yr-yr
 MINTO       | WGNSSK-SOLEVIId-1981-2006-MINTO              | REC-AGE-yr
 MINTO       | WGNSSK-SOLEVIId-1981-2006-MINTO              | A50-yr
 MINTO       | WGNSSK-SOLEVIId-1981-2006-MINTO              | F0.1-1/yr
 MINTO       | WGNSSK-SOLEVIId-1981-2006-MINTO              | Bpa-MT
 MINTO       | WGNSSK-SOLEVIId-1981-2006-MINTO              | Habitat-Habitat
 MINTO       | WGNSSK-WHITNS-VIId-IIIa-1979-2006-MINTO      | Habitat-Habitat
 MINTO       | WGNSSK-WHITNS-VIId-IIIa-1979-2006-MINTO      | F-AGE-yr-yr
 MINTO       | WGNSSK-WHITNS-VIId-IIIa-1979-2006-MINTO      | A50-yr
 MINTO       | WGNSSK-WHITNS-VIId-IIIa-1979-2006-MINTO      | MAT-CALC-0-1
 MINTO       | WGNSSK-WHITNS-VIId-IIIa-1979-2006-MINTO      | Blim-MT
 MINTO       | WGNSSK-WHITNS-VIId-IIIa-1979-2006-MINTO      | M-1/T
 MINTO       | WGNSSK-WHITNS-VIId-IIIa-1979-2006-MINTO      | REC-AGE-yr
 MINTO       | WGNSSK-WHITNS-VIId-IIIa-1979-2006-MINTO      | SSB-AGE-yr
 MINTO       | WGNSSK-WHITNS-VIId-IIIa-1979-2006-MINTO      | Fpa-1/yr
 MINTO       | WGNSSK-WHITNS-VIId-IIIa-1979-2006-MINTO      | F0.1-1/yr
 MINTO       | WGNSSK-WHITNS-VIId-IIIa-1979-2006-MINTO      | Flim-1/yr
 MINTO       | WGNSSK-WHITNS-VIId-IIIa-1979-2006-MINTO      | Fmax-1/yr
 MINTO       | WGNSSK-WHITNS-VIId-IIIa-1979-2006-MINTO      | TB-AGE-yr
 MINTO       | WGNSSK-WHITNS-VIId-IIIa-1979-2006-MINTO      | Bpa-MT
 Parma       | INIDEP-ARGANCHONARG-1989-2007-Parma          | REC-ESTIMATED-yr-yr
 Parma       | INIDEP-ARGANCHONARG-1989-2007-Parma          | A50max-yr
 Parma       | INIDEP-ARGANCHONARG-1989-2007-Parma          | L50min-cm
 Parma       | INIDEP-ARGANCHONARG-1989-2007-Parma          | VB-LA-cm
 Parma       | INIDEP-ARGANCHONARG-1989-2007-Parma          | Winf-g
 Parma       | INIDEP-ARGANCHONARG-1989-2007-Parma          | M-1/yr
 Parma       | INIDEP-ARGANCHONARG-1989-2007-Parma          | SSB-SEX-sex
 Parma       | INIDEP-ARGANCHONARG-1989-2007-Parma          | L50-cm
 Parma       | INIDEP-ARGANCHONARG-1989-2007-Parma          | BH-h-dimensionless
 Parma       | INIDEP-ARGANCHONARG-1989-2007-Parma          | F40%-1/T
 Parma       | INIDEP-ARGANCHONARG-1989-2007-Parma          | F-CALC-0-1-2
 Parma       | INIDEP-ARGANCHONARG-1989-2007-Parma          | TB-AGE-yr
 Parma       | INIDEP-ARGANCHONARG-1989-2007-Parma          | MAT-MODEL-option
 Parma       | INIDEP-ARGANCHONARG-1989-2007-Parma          | Linf-cm
 Parma       | INIDEP-ARGANCHONARG-1989-2007-Parma          | VB-t0-yr
 Parma       | INIDEP-ARGANCHONARG-1989-2007-Parma          | Trophiclevel-value
 Parma       | INIDEP-ARGANCHONARG-1989-2007-Parma          | MAX-AGE-yr
 Parma       | INIDEP-ARGANCHONARG-1989-2007-Parma          | SSBmsy-MT
 Parma       | INIDEP-ARGANCHONARG-1989-2007-Parma          | VB-L1-cm
 Parma       | INIDEP-ARGANCHONARG-1989-2007-Parma          | MAT-CALC-0-1
 Parma       | INIDEP-ARGANCHONARG-1989-2007-Parma          | SSB-AGE-yr
 Parma       | INIDEP-ARGANCHONARG-1989-2007-Parma          | Fmsy-1/yr
 Parma       | INIDEP-ARGANCHONARG-1989-2007-Parma          | MAX-LEN-cm
 Parma       | INIDEP-ARGANCHONARG-1989-2007-Parma          | TB-TYPE-0-1
 Parma       | INIDEP-ARGANCHONARG-1989-2007-Parma          | A50min-yr
 Parma       | INIDEP-ARGANCHONARG-1989-2007-Parma          | NATMORT-1/yr
 Parma       | INIDEP-ARGANCHONARG-1989-2007-Parma          | VB-k-cm/T
 Parma       | INIDEP-ARGANCHONARG-1989-2007-Parma          | Z-AGE-yr-yr
 Parma       | INIDEP-ARGANCHONARG-1989-2007-Parma          | L50max-cm
 Parma       | INIDEP-ARGANCHONARG-1989-2007-Parma          | Fpa-1/yr
 Parma       | INIDEP-ARGANCHONARG-1989-2007-Parma          | VB-A-yr
 Parma       | INIDEP-ARGANCHONARG-1989-2007-Parma          | Fcurrent-1/T
 Parma       | INIDEP-ARGANCHONARG-1989-2007-Parma          | MAX-WGT-g
 Parma       | INIDEP-ARGANCHONARG-1989-2007-Parma          | MAT-SEX-sex
 Parma       | INIDEP-ARGANCHONARG-1989-2007-Parma          | A50-yr
 Parma       | INIDEP-ARGANCHONARG-1989-2007-Parma          | F-AGE-yr-yr
 Parma       | INIDEP-ARGANCHONARG-1989-2007-Parma          | LW-a-kg/cm
 Parma       | INIDEP-ARGANCHONARG-1989-2007-Parma          | REC-AGE-yr
 Parma       | INIDEP-ARGANCHONARG-1989-2007-Parma          | Habitat-Habitat
 Parma       | INIDEP-ARGANCHONARG-1989-2007-Parma          | LEN-SEX-sex
 Parma       | INIDEP-ARGANCHONARG-1989-2007-Parma          | MSY-MT
 Parma       | INIDEP-ARGANCHONARG-1989-2007-Parma          | LW-b-dimensionless
 Parma       | INIDEP-ARGANCHONARG-1989-2007-Parma          | F-SEX-sex
 Parma       | INIDEP-ARGANCHOSARG-1992-2007-Parma          | A50min-yr
 Parma       | INIDEP-ARGANCHOSARG-1992-2007-Parma          | Trophiclevel-value
 Parma       | INIDEP-ARGANCHOSARG-1992-2007-Parma          | A50-yr
 Parma       | INIDEP-ARGANCHOSARG-1992-2007-Parma          | SSBmsy-MT
 Parma       | INIDEP-ARGANCHOSARG-1992-2007-Parma          | TB-TYPE-0-1
 Parma       | INIDEP-ARGANCHOSARG-1992-2007-Parma          | MAT-SEX-sex
 Parma       | INIDEP-ARGANCHOSARG-1992-2007-Parma          | SSB-AGE-yr
 Parma       | INIDEP-ARGANCHOSARG-1992-2007-Parma          | L50max-cm
 Parma       | INIDEP-ARGANCHOSARG-1992-2007-Parma          | Fcurrent-1/T
 Parma       | INIDEP-ARGANCHOSARG-1992-2007-Parma          | A50max-yr
 Parma       | INIDEP-ARGANCHOSARG-1992-2007-Parma          | TB-AGE-yr
 Parma       | INIDEP-ARGANCHOSARG-1992-2007-Parma          | VB-A-yr
 Parma       | INIDEP-ARGANCHOSARG-1992-2007-Parma          | MSY-MT
 Parma       | INIDEP-ARGANCHOSARG-1992-2007-Parma          | NATMORT-1/yr
 Parma       | INIDEP-ARGANCHOSARG-1992-2007-Parma          | Winf-g
 Parma       | INIDEP-ARGANCHOSARG-1992-2007-Parma          | F40%-1/T
 Parma       | INIDEP-ARGANCHOSARG-1992-2007-Parma          | Blim-MT
 Parma       | INIDEP-ARGANCHOSARG-1992-2007-Parma          | MAX-WGT-g
 Parma       | INIDEP-ARGANCHOSARG-1992-2007-Parma          | LEN-SEX-sex
 Parma       | INIDEP-ARGANCHOSARG-1992-2007-Parma          | BH-h-dimensionless
 Parma       | INIDEP-ARGANCHOSARG-1992-2007-Parma          | MAX-AGE-yr
 Parma       | INIDEP-ARGANCHOSARG-1992-2007-Parma          | Fmax-1/yr
 Parma       | INIDEP-ARGANCHOSARG-1992-2007-Parma          | VB-k-cm/T
 Parma       | INIDEP-ARGANCHOSARG-1992-2007-Parma          | Bmsy-MT
 Parma       | INIDEP-ARGANCHOSARG-1992-2007-Parma          | REC-AGE-yr
 Parma       | INIDEP-ARGANCHOSARG-1992-2007-Parma          | SSB-SEX-sex
 Parma       | INIDEP-ARGANCHOSARG-1992-2007-Parma          | REC-ESTIMATED-yr-yr
 Parma       | INIDEP-ARGANCHOSARG-1992-2007-Parma          | Fmsy-1/yr
 Parma       | INIDEP-ARGANCHOSARG-1992-2007-Parma          | LW-b-dimensionless
 Parma       | INIDEP-ARGANCHOSARG-1992-2007-Parma          | MAT-MODEL-option
 Parma       | INIDEP-ARGANCHOSARG-1992-2007-Parma          | Habitat-Habitat
 Parma       | INIDEP-ARGANCHOSARG-1992-2007-Parma          | Fpa-1/yr
 Parma       | INIDEP-ARGANCHOSARG-1992-2007-Parma          | F-CALC-0-1-2
 Parma       | INIDEP-ARGANCHOSARG-1992-2007-Parma          | M-1/yr
 Parma       | INIDEP-ARGANCHOSARG-1992-2007-Parma          | LW-a-kg/cm
 Parma       | INIDEP-ARGANCHOSARG-1992-2007-Parma          | Linf-cm
 Parma       | INIDEP-ARGANCHOSARG-1992-2007-Parma          | F-SEX-sex
 Parma       | INIDEP-ARGANCHOSARG-1992-2007-Parma          | Z-AGE-yr-yr
 Parma       | INIDEP-ARGANCHOSARG-1992-2007-Parma          | L50min-cm
 Parma       | INIDEP-ARGANCHOSARG-1992-2007-Parma          | MAT-CALC-0-1
 Parma       | INIDEP-ARGANCHOSARG-1992-2007-Parma          | VB-L1-cm
 Parma       | INIDEP-ARGANCHOSARG-1992-2007-Parma          | F-AGE-yr-yr
 Parma       | INIDEP-ARGANCHOSARG-1992-2007-Parma          | VB-t0-yr
 Parma       | INIDEP-ARGANCHOSARG-1992-2007-Parma          | MAX-LEN-cm
 Parma       | INIDEP-ARGANCHOSARG-1992-2007-Parma          | L50-cm
 Parma       | INIDEP-ARGANCHOSARG-1992-2007-Parma          | VB-LA-cm
 Parma       | INIDEP-ARGHAKENARG-1986-2007-Parma           | VB-LA-cm
 Parma       | INIDEP-ARGHAKENARG-1986-2007-Parma           | SSBmsy-MT
 Parma       | INIDEP-ARGHAKENARG-1986-2007-Parma           | REC-AGE-yr
 Parma       | INIDEP-ARGHAKENARG-1986-2007-Parma           | A50min-yr
 Parma       | INIDEP-ARGHAKENARG-1986-2007-Parma           | A50-1-yr
 Parma       | INIDEP-ARGHAKENARG-1986-2007-Parma           | F40%-1/T
 Parma       | INIDEP-ARGHAKENARG-1986-2007-Parma           | L50-1-cm
 Parma       | INIDEP-ARGHAKENARG-1986-2007-Parma           | VB-L1-cm
 Parma       | INIDEP-ARGHAKENARG-1986-2007-Parma           | REC-ESTIMATED-yr-yr
 Parma       | INIDEP-ARGHAKENARG-1986-2007-Parma           | L50min-cm
 Parma       | INIDEP-ARGHAKENARG-1986-2007-Parma           | Fmax-1/yr
 Parma       | INIDEP-ARGHAKENARG-1986-2007-Parma           | SSB-SEX-sex
 Parma       | INIDEP-ARGHAKENARG-1986-2007-Parma           | MAX-AGE-yr
 Parma       | INIDEP-ARGHAKENARG-1986-2007-Parma           | Winf-g
 Parma       | INIDEP-ARGHAKENARG-1986-2007-Parma           | F-CALC-0-1-2
 Parma       | INIDEP-ARGHAKENARG-1986-2007-Parma           | Blim-MT
 Parma       | INIDEP-ARGHAKENARG-1986-2007-Parma           | A50max-yr
 Parma       | INIDEP-ARGHAKENARG-1986-2007-Parma           | TB-TYPE-0-1
 Parma       | INIDEP-ARGHAKENARG-1986-2007-Parma           | LW-b-dimensionless
 Parma       | INIDEP-ARGHAKENARG-1986-2007-Parma           | NATMORT-1/yr
 Parma       | INIDEP-ARGHAKENARG-1986-2007-Parma           | F-AGE-yr-yr
 Parma       | INIDEP-ARGHAKENARG-1986-2007-Parma           | A50-yr
 Parma       | INIDEP-ARGHAKENARG-1986-2007-Parma           | L50max-cm
 Parma       | INIDEP-ARGHAKENARG-1986-2007-Parma           | Fmsy-1/yr
 Parma       | INIDEP-ARGHAKENARG-1986-2007-Parma           | A50-2-yr
 Parma       | INIDEP-ARGHAKENARG-1986-2007-Parma           | MAX-WGT-g
 Parma       | INIDEP-ARGHAKENARG-1986-2007-Parma           | MAT-SEX-sex
 Parma       | INIDEP-ARGHAKENARG-1986-2007-Parma           | VB-k-cm/T
 Parma       | INIDEP-ARGHAKENARG-1986-2007-Parma           | F-SEX-sex
 Parma       | INIDEP-ARGHAKENARG-1986-2007-Parma           | MSY-MT
 Parma       | INIDEP-ARGHAKENARG-1986-2007-Parma           | L50-2-cm
 Parma       | INIDEP-ARGHAKENARG-1986-2007-Parma           | VB-A-yr
 Parma       | INIDEP-ARGHAKENARG-1986-2007-Parma           | LW-a-kg/cm
 Parma       | INIDEP-ARGHAKENARG-1986-2007-Parma           | Linf-cm
 Parma       | INIDEP-ARGHAKENARG-1986-2007-Parma           | TB-AGE-yr
 Parma       | INIDEP-ARGHAKENARG-1986-2007-Parma           | M-1/yr
 Parma       | INIDEP-ARGHAKENARG-1986-2007-Parma           | Trophiclevel-value
 Parma       | INIDEP-ARGHAKENARG-1986-2007-Parma           | VB-t0-yr
 Parma       | INIDEP-ARGHAKENARG-1986-2007-Parma           | MAX-LEN-cm
 Parma       | INIDEP-ARGHAKENARG-1986-2007-Parma           | Brebuild-MT
 Parma       | INIDEP-ARGHAKESARG-1985-2007-Parma           | MAX-AGE-yr
 Parma       | INIDEP-ARGHAKESARG-1985-2007-Parma           | Fmax-1/yr
 Parma       | INIDEP-ARGHAKESARG-1985-2007-Parma           | F-AGE-yr-yr
 Parma       | INIDEP-ARGHAKESARG-1985-2007-Parma           | SSB-SEX-sex
 Parma       | INIDEP-ARGHAKESARG-1985-2007-Parma           | F-SEX-sex
 Parma       | INIDEP-ARGHAKESARG-1985-2007-Parma           | MAT-CALC-0-1
 Parma       | INIDEP-ARGHAKESARG-1985-2007-Parma           | A50min-yr
 Parma       | INIDEP-ARGHAKESARG-1985-2007-Parma           | TB-TYPE-0-1
 Parma       | INIDEP-ARGHAKESARG-1985-2007-Parma           | A50-2-yr
 Parma       | INIDEP-ARGHAKESARG-1985-2007-Parma           | L50min-cm
 Parma       | INIDEP-ARGHAKESARG-1985-2007-Parma           | VB-k-cm/T
 Parma       | INIDEP-ARGHAKESARG-1985-2007-Parma           | Habitat-Habitat
 Parma       | INIDEP-ARGHAKESARG-1985-2007-Parma           | L50-2-cm
 Parma       | INIDEP-ARGHAKESARG-1985-2007-Parma           | Winf-g
 Parma       | INIDEP-ARGHAKESARG-1985-2007-Parma           | MAX-LEN-cm
 Parma       | INIDEP-ARGHAKESARG-1985-2007-Parma           | F-CALC-0-1-2
 Parma       | INIDEP-ARGHAKESARG-1985-2007-Parma           | L50max-cm
 Parma       | INIDEP-ARGHAKESARG-1985-2007-Parma           | L50-1-cm
 Parma       | INIDEP-ARGHAKESARG-1985-2007-Parma           | NATMORT-1/yr
 Parma       | INIDEP-ARGHAKESARG-1985-2007-Parma           | MAX-WGT-g
 Parma       | INIDEP-ARGHAKESARG-1985-2007-Parma           | MSY-MT
 Parma       | INIDEP-ARGHAKESARG-1985-2007-Parma           | A50-yr
 Parma       | INIDEP-ARGHAKESARG-1985-2007-Parma           | Trophiclevel-value
 Parma       | INIDEP-ARGHAKESARG-1985-2007-Parma           | VB-LA-cm
 Parma       | INIDEP-ARGHAKESARG-1985-2007-Parma           | MAT-SEX-sex
 Parma       | INIDEP-ARGHAKESARG-1985-2007-Parma           | SSB-AGE-yr
 Parma       | INIDEP-ARGHAKESARG-1985-2007-Parma           | Fmsy-1/yr
 Parma       | INIDEP-ARGHAKESARG-1985-2007-Parma           | F40%-1/T
 Parma       | INIDEP-ARGHAKESARG-1985-2007-Parma           | Blim-MT
 Parma       | INIDEP-ARGHAKESARG-1985-2007-Parma           | A50-1-yr
 Parma       | INIDEP-ARGHAKESARG-1985-2007-Parma           | A50max-yr
 Parma       | INIDEP-ARGHAKESARG-1985-2007-Parma           | VB-t0-yr
 Parma       | INIDEP-ARGHAKESARG-1985-2007-Parma           | SSBmsy-MT
 Parma       | INIDEP-ARGHAKESARG-1985-2007-Parma           | REC-AGE-yr
 Parma       | INIDEP-ARGHAKESARG-1985-2007-Parma           | Brebuild-MT
 Parma       | INIDEP-ARGHAKESARG-1985-2007-Parma           | Linf-cm
 Parma       | INIDEP-ARGHAKESARG-1985-2007-Parma           | REC-ESTIMATED-yr-yr
 Parma       | INIDEP-ARGHAKESARG-1985-2007-Parma           | VB-A-yr
 Parma       | INIDEP-ARGHAKESARG-1985-2007-Parma           | M-1/yr
 Parma       | INIDEP-ARGHAKESARG-1985-2007-Parma           | LW-b-dimensionless
 Parma       | INIDEP-ARGHAKESARG-1985-2007-Parma           | TB-AGE-yr
 Parma       | INIDEP-ARGHAKESARG-1985-2007-Parma           | VB-L1-cm
 Parma       | INIDEP-ARGHAKESARG-1985-2007-Parma           | LW-a-kg/cm
 Parma       | INIDEP-PATGRENADIERSARG-1983-2006-Parma      | L50max-cm
 Parma       | INIDEP-PATGRENADIERSARG-1983-2006-Parma      | F-CALC-0-1-2
 Parma       | INIDEP-PATGRENADIERSARG-1983-2006-Parma      | MAX-LEN-cm
 Parma       | INIDEP-PATGRENADIERSARG-1983-2006-Parma      | MAX-WGT-g
 Parma       | INIDEP-PATGRENADIERSARG-1983-2006-Parma      | MAT-SEX-sex
 Parma       | INIDEP-PATGRENADIERSARG-1983-2006-Parma      | Umsy-ratio
 Parma       | INIDEP-PATGRENADIERSARG-1983-2006-Parma      | MAT-CALC-0-1
 Parma       | INIDEP-PATGRENADIERSARG-1983-2006-Parma      | A50-yr
 Parma       | INIDEP-PATGRENADIERSARG-1983-2006-Parma      | Bmsy-MT
 Parma       | INIDEP-PATGRENADIERSARG-1983-2006-Parma      | VB-t0-yr
 Parma       | INIDEP-PATGRENADIERSARG-1983-2006-Parma      | F-AGE-yr-yr
 Parma       | INIDEP-PATGRENADIERSARG-1983-2006-Parma      | VB-L1-cm
 Parma       | INIDEP-PATGRENADIERSARG-1983-2006-Parma      | LW-a-kg/cm
 Parma       | INIDEP-PATGRENADIERSARG-1983-2006-Parma      | A50min-yr
 Parma       | INIDEP-PATGRENADIERSARG-1983-2006-Parma      | L50min-cm
 Parma       | INIDEP-PATGRENADIERSARG-1983-2006-Parma      | Trophiclevel-value
 Parma       | INIDEP-PATGRENADIERSARG-1983-2006-Parma      | SSBmsy-MT
 Parma       | INIDEP-PATGRENADIERSARG-1983-2006-Parma      | TB-AGE-yr
 Parma       | INIDEP-PATGRENADIERSARG-1983-2006-Parma      | Habitat-Habitat
 Parma       | INIDEP-PATGRENADIERSARG-1983-2006-Parma      | SSB-AGE-yr
 Parma       | INIDEP-PATGRENADIERSARG-1983-2006-Parma      | A50max-0.5yr
 Parma       | INIDEP-PATGRENADIERSARG-1983-2006-Parma      | Blim-MT
 Parma       | INIDEP-PATGRENADIERSARG-1983-2006-Parma      | TB-TYPE-0-1
 Parma       | INIDEP-PATGRENADIERSARG-1983-2006-Parma      | VB-k-cm/T
 Parma       | INIDEP-PATGRENADIERSARG-1983-2006-Parma      | M-1/yr
 Parma       | INIDEP-PATGRENADIERSARG-1983-2006-Parma      | VB-A-yr
 Parma       | INIDEP-PATGRENADIERSARG-1983-2006-Parma      | Brebuild-MT
 Parma       | INIDEP-PATGRENADIERSARG-1983-2006-Parma      | MAX-AGE-yr
 Parma       | INIDEP-PATGRENADIERSARG-1983-2006-Parma      | MSY-MT
 Parma       | INIDEP-PATGRENADIERSARG-1983-2006-Parma      | Fmax-1/yr
 Parma       | INIDEP-PATGRENADIERSARG-1983-2006-Parma      | F-SEX-sex
 Parma       | INIDEP-PATGRENADIERSARG-1983-2006-Parma      | Z-AGE-yr-yr
 Parma       | INIDEP-PATGRENADIERSARG-1983-2006-Parma      | REC-AGE-yr
 Parma       | INIDEP-PATGRENADIERSARG-1983-2006-Parma      | SSB-SEX-sex
 Parma       | INIDEP-PATGRENADIERSARG-1983-2006-Parma      | Linf-cm
 Parma       | INIDEP-PATGRENADIERSARG-1983-2006-Parma      | Fmsy-1/yr
 Parma       | INIDEP-PATGRENADIERSARG-1983-2006-Parma      | NATMORT-1/yr
 Parma       | INIDEP-PATGRENADIERSARG-1983-2006-Parma      | L50-cm
 Parma       | INIDEP-PATGRENADIERSARG-1983-2006-Parma      | LW-b-dimensionless
 Parma       | INIDEP-PATGRENADIERSARG-1983-2006-Parma      | A50max-yr
 Parma       | INIDEP-PATGRENADIERSARG-1983-2006-Parma      | A50min-0.5yr
 Parma       | INIDEP-PATGRENADIERSARG-1983-2006-Parma      | REC-ESTIMATED-yr-yr
 Parma       | INIDEP-PATGRENADIERSARG-1983-2006-Parma      | F40%-1/T
 Parma       | INIDEP-PATGRENADIERSARG-1983-2006-Parma      | VB-LA-cm
 Parma       | INIDEP-PATGRENADIERSARG-1983-2006-Parma      | LEN-SEX-sex
 Parma       | INIDEP-SBWHITARGS-1985-2007-Parma            | Z-AGE-yr-yr
 Parma       | INIDEP-SBWHITARGS-1985-2007-Parma            | MAT-CALC-0-1
 Parma       | INIDEP-SBWHITARGS-1985-2007-Parma            | LW-a-kg/cm
 Parma       | INIDEP-SBWHITARGS-1985-2007-Parma            | Fpa-1/yr
 Parma       | INIDEP-SBWHITARGS-1985-2007-Parma            | MAX-LEN-cm
 Parma       | INIDEP-SBWHITARGS-1985-2007-Parma            | VB-LA-cm
 Parma       | INIDEP-SBWHITARGS-1985-2007-Parma            | Habitat-Habitat
 Parma       | INIDEP-SBWHITARGS-1985-2007-Parma            | MAX-AGE-yr
 Parma       | INIDEP-SBWHITARGS-1985-2007-Parma            | Fecundity-N
 Parma       | INIDEP-SBWHITARGS-1985-2007-Parma            | VB-A-yr
 Parma       | INIDEP-SBWHITARGS-1985-2007-Parma            | Blim-MT
 Parma       | INIDEP-SBWHITARGS-1985-2007-Parma            | LEN-SEX-sex
 Parma       | INIDEP-SBWHITARGS-1985-2007-Parma            | M-1/T
 Parma       | INIDEP-SBWHITARGS-1985-2007-Parma            | REC-AGE-yr
 Parma       | INIDEP-SBWHITARGS-1985-2007-Parma            | L50-cm
 Parma       | INIDEP-SBWHITARGS-1985-2007-Parma            | Brebuild-MT
 Parma       | INIDEP-SBWHITARGS-1985-2007-Parma            | F40%-1/T
 Parma       | INIDEP-SBWHITARGS-1985-2007-Parma            | VB-t0-yr
 Parma       | INIDEP-SBWHITARGS-1985-2007-Parma            | F-CALC-0-1-2
 Parma       | INIDEP-SBWHITARGS-1985-2007-Parma            | TB-AGE-yr
 Parma       | INIDEP-SBWHITARGS-1985-2007-Parma            | Fecundity-rel-eggs/g
 Parma       | INIDEP-SBWHITARGS-1985-2007-Parma            | A50-yr
 Parma       | INIDEP-SBWHITARGS-1985-2007-Parma            | Trophiclevel-value
 Parma       | INIDEP-SBWHITARGS-1985-2007-Parma            | VB-L1-cm
 Parma       | INIDEP-SBWHITARGS-1985-2007-Parma            | Fmax-1/yr
 Parma       | INIDEP-SBWHITARGS-1985-2007-Parma            | REC-ESTIMATED-yr-yr
 Parma       | INIDEP-SBWHITARGS-1985-2007-Parma            | VB-k-cm/T
 Parma       | INIDEP-SBWHITARGS-1985-2007-Parma            | SSB-AGE-yr
 Parma       | INIDEP-SBWHITARGS-1985-2007-Parma            | NATMORT-1/yr
 Parma       | INIDEP-SBWHITARGS-1985-2007-Parma            | F-AGE-yr-yr
 Parma       | INIDEP-SBWHITARGS-1985-2007-Parma            | SSB-SEX-sex
 Parma       | INIDEP-SBWHITARGS-1985-2007-Parma            | TB-TYPE-0-1
 Parma       | INIDEP-SBWHITARGS-1985-2007-Parma            | LW-b-dimensionless
 Parma       | INIDEP-SBWHITARGS-1985-2007-Parma            | Linf-cm
 Parma       | INIDEP-SBWHITARGS-1985-2007-Parma            | F-SEX-sex
 Parma       | INIDEP-SBWHITARGS-1985-2007-Parma            | MAT-SEX-sex
 PREFONTAINE | DFO-COD5Zjm-1978-2003-PREFONTAINE            | F-CALC-0-1-2
 PREFONTAINE | DFO-COD5Zjm-1978-2003-PREFONTAINE            | SSB-AGE-yr
 PREFONTAINE | DFO-COD5Zjm-1978-2003-PREFONTAINE            | F-AGE-yr-yr
 PREFONTAINE | DFO-COD5Zjm-1978-2003-PREFONTAINE            | M-1/T
