Assessid,Stockid,Large Marine Ecosystem,Scientific name,Fisheries stock,Bmsy,Btype,Comment,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,Minimum
CSIRO-NZLINGW-1968-2007-FULTON,NZLINGW,Southeast Australian Shelf,Genypterus blacodes,Ling Great Australian Bight,3377.5632,Surplus production fit,,,,,,,,,,,,,,,,,,,,2.083,2.083,2.083,2.083,2.083,2.083,2.083,2.083,2.083,2.083,2.083,2.083,2.083,2.083,2.083,2.082,2.082,2.082,2.058,1.986,1.928,1.942,1.871,1.751,1.656,1.623,1.558,1.581,1.798,1.986,2.158,2.268,2.229,2.112,1.902,1.776,1.575,1.37,1.217,1.084,,1.084
CSIRO-NZLINGSE-1968-2007-FULTON,NZLINGSE,Southeast Australian Shelf,Genypterus blacodes,Ling Southeast Australia,3324.48,Surplus production fit,,,,,,,,,,,,,,,,,,,,2.083,2.083,2.083,2.083,2.083,2.083,2.083,2.083,2.083,2.083,2.072,2.055,2.034,2.003,1.962,1.913,1.856,1.789,1.711,1.607,1.568,1.585,1.56,1.465,1.399,1.323,1.238,1.21,1.211,1.189,1.149,1.154,1.161,1.097,0.998,0.942,0.854,0.734,0.663,0.59,,0.59
CSIRO-WAREHOUW-1984-2006-FULTON,WAREHOUW,Southeast Australian Shelf,Seriolella brama,Blue warehou Great Australian Bight,1568.16,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.644,1.276,2.892,2.52,1.954,1.807,1.844,1.516,0.931,0.592,0.456,0.323,0.297,0.543,0.614,0.363,0.267,0.209,0.212,0.254,0.494,0.538,0.413,,,0.209
CSIRO-WAREHOUSE-1984-2006-FULTON,WAREHOUSE,Southeast Australian Shelf,Seriolella brama,Blue warehou Southeast Australia,1568.16,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.096,2.257,4.571,6.253,8.095,8.006,6.607,4.534,3,2.109,1.74,1.499,1.728,1.932,1.559,1.008,0.569,0.438,0.423,0.453,0.513,0.472,0.488,,,0.423
CSIRO-GEMFISHSE-1966-2007-FULTON,GEMFISHSE,Southeast Australian Shelf,Rexea solandri,Common gemfish Southeast Australia,5458.32,Surplus production fit,,,,,,,,,,,,,,,,,,2.083,2.083,2.083,1.91,1.769,1.658,1.575,1.536,1.587,1.678,1.86,2.015,2.149,1.982,1.818,1.463,1.185,0.943,0.838,0.851,0.923,0.933,0.8,0.619,0.532,0.451,0.383,0.281,0.235,0.262,0.287,0.27,0.216,0.17,0.138,0.131,0.133,0.14,0.144,0.154,0.189,0.249,,0.131
CSIRO-DEEPFLATHEADSE-1978-2007-FULTON,DEEPFLATHEADSE,Southeast Australian Shelf,Platycephalus conatus,Deepwater flathead Southeast Australia,3286.512,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.688,2.688,2.688,2.688,2.688,2.688,2.678,2.612,2.511,2.412,2.336,2.244,2.174,2.117,2.071,2.079,2.043,1.917,1.697,1.454,1.329,1.328,1.476,1.564,1.546,1.342,1.166,1.244,1.429,,,1.166
CSIRO-MORWONGSE-1913-2007-FULTON,MORWONGSE,Southeast Australian Shelf,Nemadactylus macropterus,Jackass morwong Southeast Australia,11482.608,Surplus production fit,,1.631,1.724,1.863,1.909,1.891,1.893,1.988,1.996,1.922,1.857,1.855,1.944,2.036,2.023,2.029,2.023,1.915,1.744,1.674,1.557,1.498,1.561,1.731,1.891,1.966,1.983,1.928,1.841,1.763,1.648,1.525,1.335,1.185,1.118,1.066,1.005,0.975,0.948,0.895,0.806,0.724,0.707,0.665,0.637,0.578,0.538,0.508,0.478,0.433,0.395,0.351,0.325,0.318,0.302,0.28,0.262,0.268,0.313,,0.262
CSIRO-OROUGHYSE-1978-2007-FULTON,OROUGHYSE,Southeast Australian Shelf,Hoplostethus atlanticus,Orange roughy Southeast Australia,8149.26,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,7.004,6.961,6.909,6.848,6.779,6.702,6.616,6.512,6.327,4.923,3.282,2.331,1.246,0.885,0.733,0.653,0.59,0.533,0.487,0.45,0.418,0.396,0.391,0.413,0.442,0.478,,,0.391
CSIRO-SWHITSE-1945-2007-FULTON,SWHITSE,Southeast Australian Shelf,Sillago flindersi,School whiting Southeast Australia,3734.3088,Surplus production fit,,2.01,2.027,2.029,2.043,2.048,2.048,2.05,2.054,2.055,2.045,2.019,1.986,2.016,2.03,2.021,2.01,1.999,1.992,1.996,1.999,1.991,1.973,1.975,1.983,1.957,1.932,1.953,1.898,1.863,1.846,1.779,1.721,1.608,1.481,1.244,1.127,0.895,0.73,1.126,1.229,1.22,1.058,0.987,1.386,1.4,1.302,1.228,1.162,0.927,0.653,0.49,0.614,0.926,0.97,0.867,0.71,0.697,0.663,,0.49
CSIRO-SILVERFISHSE-1978-2006-FULTON,SILVERFISHSE,Southeast Australian Shelf,Seriolella punctata,Silverfish Southeast Australia,9927.456,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.083,2.083,2.083,2.077,2.064,2.045,1.964,1.872,1.867,1.889,1.878,1.664,1.498,1.329,1.173,1.11,1.154,1.212,1.049,1.407,1.703,1.592,1.334,0.972,0.773,0.953,1.084,1.148,1.031,,,0.773
CSIRO-TIGERFLATSE-1913-2006-FULTON,TIGERFLATSE,Southeast Australian Shelf,Neoplatycephalus richardsoni,Tiger flathead Southeast Australia,6109.248,Surplus production fit,Changed Bmsy value per B. Fulton,0.385,0.461,0.492,0.51,0.48,0.494,0.488,0.472,0.492,0.565,0.625,0.619,0.726,0.79,0.711,0.642,0.599,0.59,0.57,0.594,0.551,0.547,0.575,0.566,0.518,0.544,0.547,0.604,0.688,0.805,0.927,1.061,1.219,1.368,1.501,1.632,1.762,1.889,1.961,2.005,2.015,2.032,2.01,1.986,2.004,2.004,1.986,1.934,1.859,1.859,1.886,1.949,2.037,2.053,1.978,1.869,1.78,,,0.385
SEFSC-RPORGYSATLC-1972-2005-JENSEN,RPORGYSATLC,Southeast U.S. Shelf,Pagrus pagrus,Red porgy Southern Atlantic coast,3236.02,Surplus production fit,,,,,,,,,,,,,,,,,,,,,,,,2.327,2.194,2.114,2.156,2.208,2.225,2.177,2.067,1.896,1.69,1.435,1.175,0.999,0.872,0.783,0.723,0.658,0.557,0.461,0.363,0.316,0.295,0.285,0.29,0.275,0.262,0.263,0.285,0.336,0.419,0.484,0.553,0.611,,,,,0.262
SEFSC-SPANMACKSATLC-1950-2008-JENSEN,SPANMACKSATLC,Southeast U.S. Shelf,Scomberomorus maculatus,Spanish mackerel Southern Atlantic Coast,40288,Surplus production fit,,1.125,1.075,1.025,0.985,0.924,0.869,0.802,0.747,0.663,0.627,0.609,0.543,0.532,0.504,0.511,0.527,0.497,0.506,0.524,0.523,0.497,0.522,0.493,0.482,0.496,0.483,0.428,0.312,0.292,0.288,0.284,0.252,0.287,0.225,0.2,0.234,0.271,0.31,0.333,0.33,0.315,0.326,0.315,0.302,0.282,0.288,0.298,0.308,0.289,0.319,0.339,0.343,0.369,0.372,0.344,0.341,0.354,0.401,0.467,0.2
